Name,PE_14,PE_8,PE_9,PN_16,PN_17,PN_9
PB.3183.1,69.217,46.2768,67.4525,9.61461,9.46926,51.681
PB.3179.1,0.0,0.955957,3.08858,0.859672,0.0,0.0
PB.4372.1,261.424,249.921,228.645,636.407,535.008,267.248
PB.3177.5,2.0045,0.0,1.84793,0.0,1.14823,1.4103
PB.4449.15,60.8776,16.2003,95.1359,106.207,189.746,31.2007
PB.2547.17,13.3329,13.6417,5.46224,5.86847,6.12357,13.856
PB.3177.4,2.52834,0.480952,3.1078,0.0,1.44831,1.1859
PB.9986.2,1.83272,1.04589,1.68956,0.940543,0.0,2.57888
PB.1991.4,0.535263,0.30546,0.986905,0.0,0.613227,0.0
PB.3174.3,6.34554,0.0,1.46247,5.1459,2.72618,0.0
PB.3259.3,0.0,0.489362,0.0,1.76034,2.02767,0.0
PB.3174.2,10.2326,10.7892,4.56102,9.11524,14.7564,6.66789
PB.3071.6,11.9141,3.40887,6.26489,1.68421,0.0,10.6568
PB.3174.1,1.90938,1.0591,1.86739,0.459611,1.58155,0.630105
PB.3173.1,3.45332,11.1674,10.6119,21.8575,16.4847,12.9581
PB.69.1,8.23437,4.98336,4.82227,3.78941,8.0966,1.02419
PB.6276.5,0.0,1.8264,2.95044,0.410611,0.916649,0.562929
PB.12055.24,4.53046,1.59623,19.8651,5.10181,1.6857,17.9499
PB.3171.3,1.64981,0.942782,1.52611,0.0,2.8425,2.33101
PB.8169.1,0.0,0.943181,0.0,0.882947,1.88382,0.0
PB.11415.1,3.4815,1.32453,5.34926,0.595562,1.32953,2.44947
PB.1820.1,1.00686,0.574589,0.928214,0.0,0.0,0.0
PB.8890.12,5.18513,2.2227,1.90153,2.46486,2.21381,2.58029
PB.11409.1,2.50984,8.91544,7.48285,6.54581,4.64925,6.15178
PB.7976.1,3.58835,5.9081,7.77641,6.67127,10.1472,3.81008
PB.159.5,2.06565,5.78819,3.81019,0.0,1.18326,5.81326
PB.2404.2,0.0,1.14596,1.06812,0.373139,1.8692,1.24284
PB.7369.5,3.38263,3.74144,7.71069,14.3087,10.4247,3.49919
PB.3168.4,0.0,1.49463,0.0,4.35357,0.791624,0.0
PB.3517.12,2.15927,1.24007,0.997175,1.10402,5.57705,3.01801
PB.3168.3,0.0,0.621768,0.0,1.14808,0.550671,0.749471
PB.5547.6,2.46184,2.29201,3.02044,11.4124,14.3318,7.18145
PB.2733.9,0.90846,0.0,0.0,1.39616,2.60071,0.0
PB.10190.2,4.69292,1.70689,4.94604,3.48327,1.25882,0.766885
PB.5915.1,13.0495,3.45355,7.23428,4.48579,2.21822,5.00448
PB.3168.2,8.41042,3.91414,2.24608,3.24079,6.28804,4.29945
PB.590.11,0.0,1.92267,0.0,0.866223,0.965004,0.0
PB.3168.1,93.6331,99.3218,88.8815,146.764,157.137,94.6611
PB.3974.3,2.63662,6.42199,3.64465,0.0,2.87564,2.05679
PB.5123.12,0.956418,3.82061,1.76342,0.0,0.547863,1.67699
PB.5101.2,0.0,14.6497,0.772967,1.2395,0.0,26.4421
PB.4132.2,10.6022,19.5786,15.567,29.3643,20.8177,9.97767
PB.3167.1,6.3152,5.82319,7.05526,12.0252,9.27793,11.1915
PB.9391.1,0.919018,0.0,0.776597,0.0,0.902267,0.0
PB.3166.1,0.0,0.752185,1.21511,4.25774,3.96778,1.85469
PB.813.8,0.0,0.0,1.61366,2.69487,2.00535,1.23152
PB.4699.1,0.0,1.70057,0.0,1.67837,1.28935,2.23832
PB.1395.14,0.0,1.27338,1.06483,0.538351,0.0,0.0
PB.2317.1,4.74697,0.0,3.50094,1.9489,1.63152,0.0
PB.3164.8,10.5753,13.7458,19.2885,9.42843,9.07617,7.22009
PB.4863.6,1.49801,0.855516,1.38938,0.0,2.56043,5.36648
PB.521.4,0.0,0.629885,1.01754,0.0,0.632264,0.776567
PB.3163.4,0.0,0.535184,0.0,1.44384,0.537205,0.0
PB.2756.1,83.8361,77.5674,106.605,106.293,92.0108,66.2391
PB.3663.1,1.20661,3.37209,4.23744,0.0,2.26415,2.51672
PB.6271.15,1.53982,0.913089,1.44915,5.88736,6.09349,1.11226
PB.4080.3,0.0,1.67486,2.25469,2.7613,0.0,2.75317
PB.5685.9,16.8336,9.65057,15.7801,28.3221,18.016,10.0735
PB.6664.12,0.0,2.50007,5.05142,2.35429,1.31399,0.806941
PB.7549.19,0.0,0.0,4.24697,0.697338,1.52347,0.0
PB.4077.3,15.7827,5.00374,12.9332,6.29967,11.0498,8.63656
PB.3162.5,4.55945,3.05875,2.04697,7.57552,4.47445,1.13941
PB.27.1,1.68907,0.0,1.55713,0.0,0.967544,0.0
PB.4226.1,1.43439,0.0,1.32234,1.47224,0.821656,2.01837
PB.3162.2,1.36649,1.6319,3.91619,4.6482,5.71274,1.62768
PB.8117.1,2.07267,2.7599,3.82153,7.44585,7.50617,4.37477
PB.2108.6,0.0,0.543292,0.0,0.964427,0.543781,0.0
PB.3161.1,1.32698,0.0,0.612111,0.3405,0.453788,0.0
PB.3729.2,0.778431,0.998545,0.0,0.399486,0.501239,0.0
PB.2710.9,0.0,3.51075,4.99594,1.45153,0.0,0.821784
PB.11268.1,2.61625,2.45081,2.48383,0.537058,0.61028,3.31327
PB.5438.5,1.24973,1.42637,6.91267,0.0,0.0,2.6378
PB.3160.3,0.0,0.0,1.35936,1.54704,1.37858,0.0
PB.10839.10,0.0,0.568245,0.950031,0.408886,0.0,0.0
PB.3160.2,0.954889,0.0,0.909647,0.506177,0.57546,0.0
PB.2406.5,0.0,0.838437,1.35444,0.0,0.841603,0.0
PB.8622.1,274.42,293.322,287.117,272.72,290.063,313.36
PB.3158.3,1.69107,2.89515,1.55898,0.0,0.968694,5.94891
PB.3158.2,6.38529,6.97097,5.82897,0.463551,3.62191,1.51924
PB.12114.1,13.435,12.0481,10.6162,22.6543,16.4913,9.45243
PB.4712.2,1.30059,1.48442,2.39799,2.66982,2.23503,1.8301
PB.3156.34,2.02304,1.73174,3.25485,3.11463,1.73828,0.711669
PB.3155.6,4.331,4.32528,3.9927,0.555662,0.0,1.52357
PB.3156.33,0.0,0.946994,1.16164,0.633011,0.706567,0.867829
PB.3156.32,2.63735,5.33621,8.39593,0.0,0.0,0.0
PB.3155.5,0.557942,0.697776,1.54308,0.0,0.0,1.17765
PB.3156.30,0.464769,0.277074,2.22597,0.0,0.0,0.0
PB.3156.29,0.0,2.09123,1.74466,0.491519,0.294265,0.562883
PB.3156.26,0.673848,1.13015,1.50497,0.0,1.14692,1.60464
PB.9719.3,0.0,1.22803,1.98118,5.03249,1.08712,0.0
PB.10089.5,13.3917,7.01178,26.6492,83.4595,116.072,13.1876
PB.3156.20,0.0,15.0504,29.8314,12.1535,0.0,22.0152
PB.1782.3,13.3318,1.09308,3.53185,4.04235,1.10844,3.21846
PB.4582.7,0.0,0.0,1.75008,2.1396,2.14296,0.0
PB.5891.3,1.60247,0.0,0.0,1.11395,0.91794,2.25489
PB.8017.3,0.0,0.0,1.73083,0.963514,1.07547,0.0
PB.3156.13,6.88363,4.5834,5.71782,0.0,0.0,5.87034
PB.4903.14,0.0,0.0,0.417615,0.232477,0.259491,0.637431
PB.10120.6,2.25168,3.37233,0.0,0.581165,2.08955,1.64184
PB.3156.1,59.409,65.9941,57.981,10.903,11.7373,44.1009
PB.3155.1,0.603636,2.11218,2.88879,0.302289,0.0,1.34306
PB.3154.1,6.58423,1.87872,7.5874,9.29222,11.3149,2.31622
PB.3261.3,0.0,4.78118,3.36424,0.0,0.516977,3.18774
PB.4332.16,2.35951,1.34651,2.1752,0.0,0.0,0.830035
PB.2440.6,3.08473,1.39349,0.857761,7.73954,3.74826,1.97885
